00:00.476  blend            | Read blend: "/Users/yl222/Desktop/UrbanWorldModelVisualizer/geometry_expansion/output/batch11_v1/master.blend"
12:21:15 | INFO: Data are loaded, start creating Blender stuff
12:21:15 | INFO: Blender create Mesh node finite entry approach from audited ground.002
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | pierced wall sill infill
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | projecting stone sill
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | recessed sash glazing
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | sash meeting and bottom rails
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | second floor balcony rail
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | second floor balcony sill
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | second floor bottle balusters
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | simplified Corinthian leaf blocks
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | timber sash side frames
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | timber sash upper rail
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | window hood corbels
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | wood entrance leaf
12:21:16 | INFO: Blender create Mesh node finite porch support
12:21:16 | INFO: Blender create Mesh node finite entry approach from audited ground.001
12:21:16 | INFO: glTF import finished in 0.15s
{"passed": true, "buildings": [{"building_id": "way-851362854", "entrances": [{"threshold_xyz": [953.7531127929688, -263.97113037109375, 0.00800000037997961], "rays": 25, "checked_width_m": 0.9901607603197842}], "entrance_check_status": "checked", "porch_support_samples": 0, "approach_profile_samples": 9, "passages": [], "shared_wall_samples": 60, "roof_coverage_samples": 271, "footprint_area_m2": 467.8662102007931}, {"building_id": "way-851362855", "entrances": [{"threshold_xyz": [928.0633544921875, -286.71429443359375, 0.07400000095367432], "rays": 25, "checked_width_m": 0.9911480366498631}], "entrance_check_status": "checked", "porch_support_samples": 4, "approach_profile_samples": 0, "passages": [], "shared_wall_samples": 80, "roof_coverage_samples": 238, "footprint_area_m2": 416.89704332920115}, {"building_id": "way-851362835", "entrances": [{"threshold_xyz": [957.3598022460938, -262.6571044921875, 0.00800000037997961], "rays": 25, "checked_width_m": 0.9896965396735051}], "entrance_check_status": "checked", "porch_support_samples": 0, "approach_profile_samples": 18, "passages": [], "shared_wall_samples": 40, "roof_coverage_samples": 30, "footprint_area_m2": 60.66632132742713}], "material_values_roundtrip_passed": true, "master_sha256": "18cd0a7692e14910234b35138feb6c5b5c7a9b04746de5f3cc84f0bb6e23e3b5", "replacement_sha256": "4f56f4a7ef2c1095fa1a436ef0c46b74fa7b7918c6cefa1c8a068677d0aa4c2b", "scope": "Exterior entry clearance before intentionally closed door assemblies, sampled mapped roof coverage and PBR round-trip. Not a survey or accessibility certification."}
Blender 5.2.0 LTS (hash fbe6228777e7 built 2026-07-14 01:31:22)

Blender quit
